LINE,END_WORD
"I'm hesitant, but I guess I'll drink the Kool-Aid once again",again
Candy paint with the white on top,top
Lambo doors are the oo-op drop,drop
If you busy plotting on what I got,got
"Kick in your door, That's SWAT, you thot",thot
Hundred thousand dollars on the table top,top
"Half price my whip, same price my watch",watch
Got no jumper but I ball a lot,lot
"Bitch, I'm young Stoney, I do what I want",want
Candy paint with the white on top (skrrt),skrrt
Lambo doors are the oo-op drop (drop),drop
"Kick in your door, that's SWAT, you thot (pop)",pop
"Half price my whip, same price my watch (bling)",bling
Got no jumper but I ball a lot (swish),swish
Didn't know that was your girl when she gave me top (yuh),yuh
"Kicked her out the Rolls said, ""Thanks a lot""",lot
Goddamn I love paper like I'm Michael Scott (yeah),yeah
I can do things that your man cannot (yeah),yeah
"Slide boy comin' down, damn, I'm hot (hot)",hot
Everybody say that I gotta be stopped (stopped),stopped
Even though my final form ain't unlocked (locked),locked
I'm so ahead of you motherfuckers,motherfuckers
How you comprehend what you ain't understanding?,understanding
Count a hundred bands and I watch it vanish,vanish
Diamonds going crazy like they on the dance floor,floor
"Got a lot of ass, nothing I can't handle",handle
"Flavor lasts forever, you should try a sample (God damn)",damn
"Baby, I'm the boss like I'm Tony Danza (Tony Danza)",danza
Everybody trying to tell me what I stand for,for
"But you don't fucking know me, homie, you don't want war (aye)",aye
"Got no jumper but I ball a lot (hey, hey)",hey
"Bitch, I'm young Stoney, I do what I want (hey, hey)",hey
Candy paint with the white on top (yeah),yeah
"Lambo doors are the oo-op drop (drop, drop)",drop
"Kick in your door, that's SWAT, you thot (pop, pop, pop, pop)",pop
"Half price my whip, same price my watch (yeah)",yeah
"I've been rolling twenty ash, hit the road (wooh)",wooh
Hit the switch up the suicide doors (damn),damn
We already know you vanished though (ooh),ooh
"Hit my momma when I ride in that, oh",oh
All these motherfuckers so false with me (yah),yah
"If your money funny, don't talk to me (nah)",nah
I know there ain't shit that you could offer me (no),no
Take a second if you think about crossing me,me
"It lasts forever, you should try a sample (God damn)",damn
Everybody trying to tell me what I stand for (what I stand for),for
"But you don't fucking know me, homie, you don't want war (you don't want war)",war
"I started with an eighth, alright (alright)",alright
And then I went and changed my life (my life),life
I might take out the Wraith tonight (tonight),tonight
Put your arms around me baby,baby
"I just want to fly, make it last before we die",die
And I know you want a ride,ride
What's on your mind? What's on your mind?,mind
And my '92 got doors like my Lambo,lambo
Spend my last paycheck on some ammo,ammo
"We don't follow trends, rest in peace to Yamo",yamo
"Your new shit sucks, I feel like Anthony Fantano",fantano
"Saying I was broke last year, I can't go back there",there
"Nicotine fiend, couldn't even buy a pack, yeah",yeah
"She don't know my music, told her I ain't mad, yeah",yeah
"Let her cut that coco on my platinum plaque, yeah (wow)",wow
"Cut my fingers on my bands, oh yeah",yeah
"Cut my locker with some Xan, oh yeah",yeah
"Count me my guala in advance, oh yeah",yeah
"Backstreet diamonds, watch them dance on ya, yeah",yeah
She don't want to spend all my dough,dough
She gets paid to be a model,model
"I take the lead, they just follow",follow
"Face it, you don't know what I know",know
"Pull up, I got some' for ya",ya
Something in my trunk for ya,ya
But I got a good lawyer,lawyer
They always try to come for ya,ya
I'ma pull up in that Bentley with the fuckin windows tinted,tinted
"Penning how I'm feeling, take a drop of the extended",extended
"Think I'm showing signs of slowing, homie just forget it",it
"I guess this what happens when you fucking handle business, yeah",yeah
"I was broke last year, I can't go back there",there
Got some lean and I went a little mad yeah,yeah
"Try to take the swagger, I know it for a fact",fact
"Hollywood's bleeding, vampires feeding, darkness turns to dust",dust
"Everyone's gone but no one's leaving, nobody left but us",us
"Tryna chase a feeling but we never feel it, riding on our last train home",home
"Dying in our sleep, we're living out a dream, we only make it out alone",alone
I just keep on hoping that you call me,me
You say you wanna see me but you can't right now,now
You never took the time to get to know me,me
Was scared of losing something that we never found,found
We're running out of reasons but we can't let go,go
"Yeah, Hollywood is bleeding but we call it home",home
Outside the winter sky turning grey,grey
City up in smoke it's only ash when it rains,rains
Howl at the moon and go to sleep in the day,day
Love for everybody 'til the drugs fade away,away
"In the morning, blocking out the sun with the shades",shades
She gotta check her pulse and tell herself that she okay,okay
It seem like dying young is an honor,honor
But who be at my funeral? I wonder,wonder
"I go out, and all the eyes on me",me
"I show out, do you like what you see?",see
"And now, they closing in on me",me
Let 'em sharpen all they teeth,teeth
This is more than I can handle,handle
Blood in my Lambo,lambo
"Wish I could go, I'm losing hope",hope
"I light a candle, some Palo Santo",santo
"For all these demons, wish I could just go on",on
"Ayy, I've been fuckin' hoes and poppin' pillies",pillies
"Man, I feel just like a rockstar (star)",star
"Ayy, ayy, all my brothers got that gas",gas
And they always be smokin' like a Rasta,rasta
"Fuckin' with me, call up on a Uzi",uzi
"And show up, man them the shottas",shottas
When my homies pull up on your block,block
"They make that thing go grrrata-ta-ta (pow, pow, pow)",pow
"Ayy, ayy, switch my whip, came back in black",black
"I'm startin' sayin', ""Rest in peace to Bon Scott""",scott
"Ayy, close that door, we blowin' smoke",smoke
She ask me light a fire like I'm Morrison,morrison
"Ayy, act a fool on stage",stage
Prolly leave my fuckin' show in a cop car,car
"Ayy, shit was legendary",legendary
Threw a TV out the window of the Montage,montage
"Cocaine on the table, liquor pourin', don't give a damn",damn
"Dude, your girlfriend is a groupie, she just tryna get in",in
"Sayin', ""I'm with the band""",band
"Ayy, ayy, now she actin' outta pocket",pocket
Tryna grab up from my pants,pants
Hundred bitches in my trailer say they ain't got a man,man
And they all brought a friend,friend
"Yeah, ayy",ayy
"Ayy, ayy, I've been fuckin' hoes and poppin' pillies",pillies
I've been in the Hills fuckin' superstars,superstars
"Feelin' like a popstar (21, 21, 21)",21
"Drankin' Henny, bad bitches jumpin' in the pool",pool
And they ain't got on no bra (no bra),bra
"Hit her from the back, pullin' on her tracks",tracks
"And now she screamin' out, ""No mas"" (yeah, yeah, yeah)",yeah
"They like, ""Savage, why you got a 12 car garage",garage
"And you only got 6 cars?"" (21)",21
"I ain't with the cakin', how you kiss that? (kiss that?)",that
Your wifey say I'm lookin' like a whole snack (big snack),snack
"Green hundreds in my safe, I got old racks (old racks)",racks
"L.A. bitches always askin' ""Where the coke at?""",at
"Livin' like a rockstar, smash out on a cop car",car
"Sweeter than a Pop-Tart, you know you are not hard",hard
"I done made the hot chart, 'member I used to trap hard",hard
"Livin' like a rockstar, I'm livin' like a rockstar",rockstar
"Star, star, rockstar, rockstar, star",star
"Rockstar, feel just like a rock...",rock
Feel just like a...,a
"When you leave me, make me jump up off my roof",roof
"Didn't faze you, would've given you the moon",moon
Even after everything that we've been through,through
I ain't never met nobody like you,you
Why you always tryna tell me that it's cool?,cool
Need to quiet 'cause you never tell the truth,truth
Felt like ballin' was the only thing to do,do
Trade my woman for some diamonds and a coupe,coupe
"When she's comin' for my heart, it feels like Armageddon",armageddon
"I'ma turn the tables, promise you will not forget it",it
"Won't apologize, don't give a fuck if you're offended",offended
"No discussion, yeah we gotta go our separate ways",ways
Won't take me down in flames,flames
I don't even wanna know your name,name
"Watch how everything is gonna change, yeah, ayy",ayy
I'ma pull up in a Bentley,bentley
"With a fuckin' hunnid thousand in my pocket, yeah, yeah",yeah
"I'ma pull in, swang my door open",open
"Stuntin', knowin' everybody watchin', yeah, yeah",yeah
And help another bitch out the whip,whip
