LINE,END_WORD
W-w-w-w-w-work hard,hard
"J-j-just last week, I told 'em to pick a side",side
"I-I-I bust shots, don't duck if they don't apply",apply
"I know what these niggas like, and it ain't my charm",charm
"I ain't stupid, this $250 on my arm",arm
"I like money more than dick, nigga, that's a fact",fact
"You think pussy's everything? Well, let's have a chat",chat
"A-a-ass out, pussy fat, point me to a rich nigga",nigga
"Who gon' Rico, Ace me, pay in full my money, Mitch, nigga",nigga
"I'ma help 'em fuck the check up, I'ma run the business",business
"If your girl don't get it popping', put me on your wishlist Hitlist, now we sending gifts like if it's Christmas",christmas
"He say ""Baby, everyday we ballin'"", I say, ""Swish, swish""",swish
Got him calling' nonstop 'cause he don't wanna miss this,this
"I said, ""Don't panic, keep the faith, nigga bigs bitch:",bitch:
(Real rich nigga sex),sex
If you know your pussy worth a Benz truck,truck
(Rich sex),sex
Don't let homie fuck unless his bands up,up
"Go to DR, get that fat transfer",transfer
It ain't such a thing as broke and handsome,handsome
"If you let that broke nigga fuck, we tellin'",tellin
Lil mamma said she only fuckin' on a rich dick,dick
"I cum in her face and tell her now you lookin' rich, bitch",bitch
"Her friend in the other room, can I get a witness?",witness
"We could have rich sex, can I have no rich kick backs?",backs
All my bitches have no limits,limits
Fucked her in a helicopter,helicopter
"Now she screamin', ""Sky's the limit""",limit
Fuck her in the drop top,top
Sent her back to who she with,with
Now she screamin' while she with him,him
Lil mama said she only suckin' on a rich dick,dick
Make you put your money where your mouth,mouth
"Babe, that some lipstick",lipstick
"Let's fuck on that money, 'fore we count that",that
That's some rich shit,shit
Pussy smell like money when I'm down her,her
That some Nik shit,shit
"If you let that broke nigga fuck, we tell it",it
Mitch who got bricks too,too
"The rich get richer, that's my ritual",ritual
"Rich crew, link my bitch too",too
"Mac took the Wraith, me and Toon flew",flew
"I don't even know where we going these days, where we landing",landing
"Queen, where we going again?",again
"To the moon, Elis, the goon palace",palace
"When we get fly, we take flight, haha",haha
"Woo! Haha, ahh-haha, ahh!",ahh
